tweet_id,rating_numerator,rating_denominator,favorite_count,retweet_count,dog_breed,confidence
854120357044912130,14,10,31222,7230,black-and-tan_coonhound,0.8548610000000001
854010172552949760,11,10,15841,3055,English_springer,0.354733
853760880890318849,12,10,27911,5567,miniature_pinscher,0.29251900000000003
853639147608842240,13,10,33902,9745,German_shepherd,0.509879
852912242202992640,12,10,8837,1764,Great_Dane,0.7837649999999999
852672615818899456,12,10,14599,2102,golden_retriever,0.7112350000000001
852553447878664193,13,10,15966,3382,bloodhound,0.186498
852189679701164033,12,10,11248,1553,Bernese_mountain_dog,0.415374
851591660324737024,11,10,15977,3397,Cardigan,0.394507
851224888060895234,13,10,20340,5605,standard_poodle,0.00568265
850753642995093505,11,10,30308,8930,pug,0.996952
850380195714523136,13,10,12894,2554,Yorkshire_terrier,0.249012
850145622816686080,11,10,16072,3713,kelpie,0.10539
850019790995546112,12,10,20100,4778,Shetland_sheepdog,0.759907
849776966551130114,12,10,30006,7443,Chihuahua,0.292092
849412302885593088,12,10,15648,3101,schipperke,0.907559
848690551926992896,12,10,24861,4245,flat-coated_retriever,0.8236479999999999
848324959059550208,12,10,24400,4544,malamute,0.5445760000000001
848212111729840128,6,10,16126,2990,Bedlington_terrier,0.333486
847842811428974592,12,10,5382,1312,Bernese_mountain_dog,0.951337
847606175596138505,12,10,18561,3380,Cardigan,0.413688
847251039262605312,12,10,20283,4254,Airedale,0.49538
847157206088847362,11,10,19684,5763,Staffordshire_bullterrier,0.21960900000000005
847116187444137987,11,10,21252,3134,American_Staffordshire_terrier,0.113434
846874817362120707,13,10,19897,3879,Shetland_sheepdog,0.450539
846514051647705089,13,10,44218,11407,golden_retriever,0.650003
846153765933735936,13,10,31333,8929,giant_schnauzer,0.346468
846042936437604353,12,10,15843,2832,golden_retriever,0.96111
845812042753855489,13,10,28988,8596,Samoyed,0.979803
845677943972139009,12,10,24996,4739,chow,0.8086810000000001
845397057150107648,13,10,7579,1785,Dandie_Dinmont,0.394404
845306882940190720,12,10,23159,5332,Irish_water_spaniel,0.567475
844979544864018432,13,10,13544,2529,Shetland_sheepdog,0.000132068
844973813909606400,12,10,14973,3155,Labrador_retriever,0.742421
844973813909606400,12,10,14973,3155,Labrador_retriever,0.742421
844223788422217728,12,10,13564,2179,Labrador_retriever,0.71951
843856843873095681,12,10,21337,4579,Labrador_retriever,0.92254
843604394117681152,11,10,16787,2723,Labrador_retriever,0.430583
843235543001513987,13,10,21402,5979,Pembroke,0.958452
842846295480000512,13,10,15221,3613,Labrador_retriever,0.461076
842765311967449089,12,10,6699,1269,Labrador_retriever,0.0293399
842535590457499648,13,10,18027,3480,Pembroke,0.685084
842163532590374912,12,10,24346,5752,French_bulldog,0.891227
842115215311396866,12,10,13933,3012,chow,0.293493
841680585030541313,12,10,25640,7765,Chihuahua,0.547401
841439858740625411,14,10,12619,3669,Labrador_retriever,0.0481999
841314665196081154,13,10,15797,4625,Afghan_hound,0.903712
841077006473256960,12,10,22810,5285,Brittany_spaniel,0.962985
